"id","question","sparql","answer","frame"
"0","ড্যামিয়ান মার্লে এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q310796> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বব মার্লে","NPP"
"1","ড্যামিয়ান মার্লে এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q310796> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বব মার্লে","NPP"
"2","সাশা ওবামা এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q15070048> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বারাক ওবামা","NPP"
"3","সাশা ওবামা এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q15070048> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বারাক ওবামা","NPP"
"4","পিকাস এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q235724> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","মার্স","NPP"
"5","পিকাস এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q235724> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","মার্স","NPP"
"6","জুলিয়ান মার্লে এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q718404> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বব মার্লে","NPP"
"7","জুলিয়ান মার্লে এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q718404> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বব মার্লে","NPP"
"8","মালিয়া ওবামা এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q15070044> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বারাক ওবামা","NPP"
"9","মালিয়া ওবামা এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q15070044> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বারাক ওবামা","NPP"
"10","দ্বিতীয় নেপোলিয়ন এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q7723> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","নেপোলিয়ন বোনাপার্ট","NPP"
"11","দ্বিতীয় নেপোলিয়ন এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q7723> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","নেপোলিয়ন বোনাপার্ট","NPP"
"12","এদুয়ার্দো ফ্রেই রুইস-তাগ্লে এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q326> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","এদুয়ার্দো ফ্রেই মোন্তাল্বা","NPP"
"13","এদুয়ার্দো ফ্রেই রুইস-তাগ্লে এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q326> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","এদুয়ার্দো ফ্রেই মোন্তাল্বা","NPP"
"14","কিউপিড এর পিতা এর নাম কি?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q5011> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","মার্স","NPP"
"15","কিউপিড এর পিতা এর নাম বলো?","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q5011> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","মার্স","NPP"
"17","ড্যামিয়ান মার্লে এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q310796> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বব মার্লে","NPP"
"18","সাশা ওবামা এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q15070048> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বারাক ওবামা","NPP"
"19","পিকাস এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q235724> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","মার্স","NPP"
"20","জুলিয়ান মার্লে এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q718404> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বব মার্লে","NPP"
"21","মালিয়া ওবামা এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q15070044> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","বারাক ওবামা","NPP"
"22","দ্বিতীয় নেপোলিয়ন এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q7723> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","নেপোলিয়ন বোনাপার্ট","NPP"
"23","এদুয়ার্দো ফ্রেই রুইস-তাগ্লে এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q326> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","এদুয়ার্দো ফ্রেই মোন্তাল্বা","NPP"
"24","কিউপিড এর পিতা","SELECT ?label WHERE {    <http://www.wikidata.org/entity/Q5011> <http://www.wikidata.org/prop/direct/P22> ?object.  ?object rdfs:label ?label         FILTER (langMatches( lang(?label), ""BN"" ) )}","মার্স","NPP"
